Ordem;Valor;Area;IA;Andar;Suites;Vista;DistBM;Semruido;AV100m
1;160000;168;1;5;1;1;294;1;0
2;67000;129;1;6;0;0;1505;1;0
3;190000;218;1;8;1;0;251;0;1
4;110000;180;12;4;1;0;245;0;0
5;70000;120;15;3;1;0;956;1;0
6;75000;160;18;2;0;1;85;0;1
7;95000;155;5;3;1;0;1401;1;0
8;135000;165;1;2;1;1;148;0;1
9;110000;150;10;4;1;0;143;0;0
10;115000;185;15;5;1;0;831;0;0
11;325669;393;1;4;2;0;421;1;1
12;362400;393;1;8;2;0;421;1;1
13;163798;226;1;2;1;0;397;1;0
14;261250;313;1;3;2;0;319;1;0
15;276870;305;1;5;4;0;461;1;1
16;284626;305;1;7;4;0;461;1;1
17;95000;161;6;3;1;0;143;0;0
18;200000;277;2;8;1;0;86;0;1
19;120000;157;5;10;1;0;448;0;0
20;130000;156;5;6;1;0;502;1;0
21;145000;162;1;8;1;0;903;1;1
22;85000;180;1;1;1;0;275;0;0
23;104000;130;1;6;1;0;1056;0;0
24;85000;130;1;6;0;0;780;0;0
25;150000;175;1;12;1;0;917;1;1
26;110000;161;1;5;1;0;540;1;0
27;120000;161;1;7;1;0;540;1;0
28;88000;135;6;2;0;0;290;1;0
29;115000;140;5;2;1;0;174;1;0
30;105000;150;2;2;1;0;115;0;0
31;195000;210;1;6;2;0;479;1;1
32;180000;192;1;6;3;0;479;1;1
33;135000;200;17;3;1;0;252;0;0
34;185000;251;19;6;1;0;1549;1;0
35;190000;260;6;3;1;0;582;1;0
36;95000;192;15;1;1;0;92;0;0
37;80000;115;18;2;0;0;370;1;1
38;240000;370;12;2;3;0;155;0;0
39;50000;105;18;1;0;0;438;1;0
40;90000;171;15;1;0;0;748;1;1
41;110000;173;12;2;1;0;373;1;1
42;124972;180;1;7;1;0;275;0;0
43;90000;160;15;9;1;0;143;0;0
44;128000;110;1;4;1;1;250;1;0
45;53600;84;1;5;0;0;1280;1;0
46;152000;142;1;6;1;0;214;0;1
47;88000;117;10;3;1;0;209;0;0
48;56000;78;12;3;1;0;813;1;0
49;60000;104;15;2;0;1;73;0;1
50;76000;101;4;3;1;0;1191;1;0
51;108000;108;1;2;1;1;126;0;1
52;88000;98;8;3;1;0;122;0;0
53;92000;121;12;4;1;0;707;0;0
54;260536;256;1;3;2;0;358;1;1
55;289920;256;1;6;2;0;358;1;1
56;131039;147;1;2;1;0;338;1;0
57;209000;204;1;3;2;0;272;1;0
58;221496;198;1;4;4;0;392;1;1
59;227701;198;1;5;4;0;392;1;1
60;76000;105;5;3;1;0;122;0;0
61;160000;181;2;6;1;0;74;0;1
62;96000;103;4;7;1;0;381;0;0
63;104000;102;4;5;1;0;427;1;0
64;116000;106;1;6;1;0;768;1;1
65;68000;117;1;1;1;0;234;0;0
66;83200;84;1;5;1;0;898;0;0
67;68000;85;1;5;0;0;663;0;0
68;120000;114;1;9;1;0;780;1;1
69;88000;105;1;4;1;0;459;1;0
70;96000;105;1;5;1;0;459;1;0
71;70400;88;5;2;0;0;247;1;0
72;92000;91;4;2;1;0;148;1;0
73;84000;98;2;2;1;0;98;0;0
74;156000;137;1;5;2;0;408;1;1
75;144000;125;1;5;3;0;408;1;1
76;108000;130;14;3;1;0;215;0;0
77;148000;164;16;5;1;0;1317;1;0
78;152000;169;5;3;1;0;495;1;0
79;76000;125;12;1;1;0;79;0;0
80;64000;75;15;2;0;0;315;1;1
81;192000;241;10;2;3;0;132;0;0
82;40000;69;15;1;0;0;373;1;0
83;72000;112;12;1;0;0;636;1;1
84;88000;113;10;2;1;0;318;1;1
85;99978;117;1;5;1;0;234;0;0
86;72000;104;12;7;1;0;122;0;0
87;224000;152;1;4;1;1;353;1;0
88;93800;116;1;5;0;0;1806;1;0
89;266000;196;1;6;1;0;302;0;1
90;154000;162;11;3;1;0;294;0;0
91;98000;108;13;3;1;0;1148;1;0
92;105000;144;16;2;0;1;102;0;1
93;133000;140;5;3;1;0;1682;1;0
94;189000;149;1;2;1;1;178;0;1
95;154000;135;9;3;1;0;172;0;0
96;161000;167;13;4;1;0;998;0;0
97;455937;354;1;8;2;1;206;1;1
98;507360;354;4;6;2;1;506;1;1
99;229318;204;1;2;1;0;477;1;0
100;365750;282;1;3;2;0;383;1;0
101;387618;274;1;4;4;0;554;1;1
102;398477;274;1;5;4;0;554;1;1
103;133000;145;6;3;1;0;172;0;0
104;280000;250;2;6;1;0;104;0;1
105;168000;142;5;7;1;0;538;0;0
106;182000;141;5;5;1;0;603;1;0
107;203000;146;1;6;1;0;1084;1;1
108;119000;162;1;1;1;0;330;0;0
109;145600;117;1;5;1;0;1268;0;0
110;119000;117;1;5;0;0;936;0;0
111;210000;158;1;9;1;0;1101;1;1
112;154000;145;1;4;1;0;648;1;0
113;168000;145;1;5;1;0;648;1;0
114;123200;122;6;2;0;0;348;1;0
115;161000;126;5;2;1;0;209;1;0
116;147000;135;2;2;1;0;138;0;0
117;273000;189;1;5;2;0;575;1;1
118;252000;173;1;5;3;0;575;1;1
119;189000;180;15;3;1;0;303;0;0
120;259000;226;17;5;1;0;1859;1;0
121;266000;234;6;3;1;0;699;1;0
122;133000;173;13;1;1;0;111;0;0
123;112000;104;16;2;0;0;444;1;1
124;336000;333;11;2;3;0;186;0;0
125;70000;95;16;1;0;0;526;1;0
126;126000;154;13;1;0;1;898;1;1
127;154000;156;11;2;1;0;448;1;1
128;174961;162;1;5;1;0;330;0;0
129;126000;144;13;7;1;0;172;0;0
130;256000;131;1;5;2;1;325;1;0
131;107200;101;1;6;0;0;1664;1;0
132;304000;170;1;8;2;1;279;0;1
133;176000;141;9;4;2;0;272;0;0
134;112000;94;11;4;2;0;1057;1;0
135;120000;125;14;3;0;1;95;0;1
136;152000;121;4;4;2;0;1549;1;0
137;216000;129;1;3;2;1;164;0;1
138;176000;117;8;4;2;0;159;0;0
139;184000;145;11;5;2;0;920;0;0
140;521072;307;1;4;3;1;466;1;1
141;579840;307;3;8;3;1;266;1;1
142;262078;177;1;3;2;0;440;1;0
143;418000;245;1;4;3;0;354;1;0
144;442992;238;1;5;6;0;510;1;1
145;455402;238;2;6;6;1;510;1;1
146;152000;126;5;4;2;0;159;0;0
147;320000;217;2;8;2;0;97;0;1
148;192000;123;4;9;2;0;496;0;0
149;208000;122;4;6;2;0;556;1;0
150;232000;127;1;8;2;0;999;1;1
151;136000;141;1;2;2;0;305;0;0
152;166400;101;1;6;2;0;1168;0;0
153;136000;102;1;6;0;0;862;0;0
154;240000;137;1;11;2;1;1014;1;1
155;176000;125;1;5;2;0;597;1;0
156;192000;125;1;6;2;1;597;1;0
157;140800;106;5;3;0;0;322;1;0
158;184000;110;4;3;2;0;193;1;0
159;168000;117;2;3;2;0;128;0;0
160;312000;164;1;6;3;0;531;1;1
161;288000;150;1;6;5;0;531;1;1
162;216000;156;13;4;2;0;280;0;0
163;296000;196;15;6;2;1;1713;1;0
164;304000;203;5;4;2;0;644;1;0
165;152000;150;11;2;2;0;103;0;0
166;128000;90;14;3;0;0;410;1;1
167;384000;289;9;3;5;0;172;0;0
168;80000;82;14;2;0;0;485;1;0
169;144000;134;11;2;0;1;827;1;1
170;176000;135;9;3;2;1;414;1;1
171;199956;141;1;6;2;0;305;0;0
172;144000;125;11;9;2;0;159;0;0
