Date,Unit,Minimum,Maximum,Average,Market
2013-06-16,Kg,26,32,29.0,Tomato
2013-06-17,Kg,20,25,22.5,Tomato
2013-06-18,Kg,22,26,24.0,Tomato
2013-06-19,Kg,24,28,26.0,Tomato
2013-06-20,Kg,22,26,24.0,Tomato
2013-06-21,Kg,15,20,17.5,Tomato
2013-06-25,Kg,25,30,27.5,Tomato
2013-06-26,Kg,20,25,22.5,Tomato
2013-06-27,Kg,18,24,21.0,Tomato
2013-06-28,Kg,24,28,26.0,Tomato
2013-06-30,Kg,18,22,20.0,Tomato
2013-07-01,Kg,15,20,17.5,Tomato
2013-07-02,Kg,15,20,17.5,Tomato
2013-07-03,Kg,14,18,16.0,Tomato
2013-07-04,Kg,14,18,16.0,Tomato
2013-07-05,Kg,18,24,21.0,Tomato
2013-07-09,Kg,20,25,22.5,Tomato
2013-07-10,Kg,30,35,32.5,Tomato
2013-07-11,Kg,32,38,35.0,Tomato
2013-07-12,Kg,44,48,46.0,Tomato
2013-07-14,Kg,50,55,52.5,Tomato
2013-07-15,Kg,50,55,52.5,Tomato
2013-07-16,Kg,48,52,50.0,Tomato
2013-07-17,Kg,46,52,49.0,Tomato
2013-07-18,Kg,40,45,42.5,Tomato
2013-07-19,Kg,36,40,38.0,Tomato
2013-07-21,Kg,28,32,30.0,Tomato
2013-07-22,Kg,28,32,30.0,Tomato
2013-07-23,Kg,30,35,32.5,Tomato
2013-07-24,Kg,32,36,34.0,Tomato
2013-07-25,Kg,40,45,42.5,Tomato
2013-07-26,Kg,40,45,42.5,Tomato
2013-07-28,Kg,40,45,42.5,Tomato
2013-07-29,Kg,42,46,44.0,Tomato
2013-07-30,Kg,38,42,40.0,Tomato
2013-07-31,Kg,35,40,37.5,Tomato
2013-08-01,Kg,34,38,36.0,Tomato
2013-08-02,Kg,25,35,30.0,Tomato
2013-08-04,Kg,25,30,27.5,Tomato
2013-08-05,Kg,25,30,27.5,Tomato
2013-08-06,Kg,28,34,31.0,Tomato
2013-08-07,Kg,25,30,27.5,Tomato
2013-08-08,Kg,20,25,22.5,Tomato
2013-08-12,Kg,24,28,26.0,Tomato
2013-08-13,Kg,25,30,27.5,Tomato
2013-08-14,Kg,25,30,27.5,Tomato
2013-08-15,Kg,25,32,28.5,Tomato
2013-08-16,Kg,35,40,37.5,Tomato
2013-08-18,Kg,30,35,32.5,Tomato
2013-08-19,Kg,35,40,37.5,Tomato
2013-08-20,Kg,38,42,40.0,Tomato
2013-08-23,Kg,40,44,42.0,Tomato
2013-08-25,Kg,30,35,32.5,Tomato
2013-08-26,Kg,28,32,30.0,Tomato
2013-08-27,Kg,28,32,30.0,Tomato
2013-08-29,Kg,34,38,36.0,Tomato
2013-08-30,Kg,30,35,32.5,Tomato
2013-09-01,Kg,30,35,32.5,Tomato
2013-09-02,Kg,35,40,37.5,Tomato
2013-09-03,Kg,40,45,42.5,Tomato
2013-09-04,Kg,40,45,42.5,Tomato
2013-09-05,Kg,45,50,47.5,Tomato
2013-09-06,Kg,50,55,52.5,Tomato
2013-09-08,Kg,50,56,53.0,Tomato
2013-09-09,Kg,55,60,57.5,Tomato
2013-09-10,Kg,44,50,47.0,Tomato
2013-09-11,Kg,38,42,40.0,Tomato
2013-09-12,Kg,36,42,39.0,Tomato
2013-09-13,Kg,35,40,37.5,Tomato
2013-09-15,Kg,35,40,37.5,Tomato
2013-09-16,Kg,32,38,35.0,Tomato
2013-09-17,Kg,35,40,37.5,Tomato
2013-09-19,Kg,35,40,37.5,Tomato
2013-09-20,Kg,35,40,37.5,Tomato
2013-09-22,Kg,30,35,32.5,Tomato
2013-09-23,Kg,30,35,32.5,Tomato
2013-09-24,Kg,30,35,32.5,Tomato
2013-09-25,Kg,30,31,30.5,Tomato
2013-09-26,Kg,30,35,32.5,Tomato
2013-09-27,Kg,35,40,37.5,Tomato
2013-09-29,Kg,35,40,37.5,Tomato
2013-09-30,Kg,38,42,40.0,Tomato
2013-10-01,Kg,38,42,40.0,Tomato
2013-10-02,Kg,40,45,42.5,Tomato
2013-10-03,Kg,40,45,42.5,Tomato
2013-10-04,Kg,40,45,42.5,Tomato
2013-10-06,Kg,65,75,70.0,Tomato
2013-10-07,Kg,60,70,65.0,Tomato
2013-10-08,Kg,55,60,57.5,Tomato
2013-10-09,Kg,75,80,77.5,Tomato
2013-10-10,Kg,75,80,77.5,Tomato
2013-10-11,Kg,75,80,77.5,Tomato
2013-10-12,Kg,60,70,65.0,Tomato
2013-10-13,Kg,65,75,70.0,Tomato
2013-10-14,Kg,65,75,70.0,Tomato
2013-10-15,Kg,65,70,67.5,Tomato
2013-10-16,Kg,55,65,60.0,Tomato
2013-10-17,Kg,40,50,45.0,Tomato
2013-10-20,Kg,30,35,32.5,Tomato
2013-10-21,Kg,35,40,37.5,Tomato
2013-10-22,Kg,30,35,32.5,Tomato
2013-10-23,Kg,30,35,32.5,Tomato
2013-10-24,Kg,35,40,37.5,Tomato
2013-10-25,Kg,35,45,40.0,Tomato
2013-10-27,Kg,45,50,47.5,Tomato
2013-10-28,Kg,45,50,47.5,Tomato
2013-10-29,Kg,45,55,50.0,Tomato
