id;satisfaction_level;last_evaluation;average_montly_hours;time_spend_company;Work_accident;left;promotion_last_5years;salary;num_project;depto
1;0,38;0,53;157;3;0;1;0;low;2;sales
2;0,8;0,86;262;6;0;1;0;medium;5;sales
3;0,11;0,88;272;4;0;1;0;medium;6;sales
4;0,72;0,87;223;5;0;1;0;low;5;sales
5;0,37;0,52;159;3;0;1;0;low;2;sales
6;0,41;0,5;153;3;0;1;0;low;2;sales
7;0,1;0,77;247;4;0;1;0;low;6;sales
8;0,92;0,85;259;5;0;1;0;low;5;sales
9;0,89;1;224;5;0;1;0;low;5;sales
10;0,42;0,53;142;3;0;1;0;low;2;sales
11;0,45;0,54;135;3;0;1;0;low;2;sales
12;0,11;0,81;305;4;0;1;0;low;6;sales
13;0,84;0,92;234;5;0;1;0;low;4;sales
14;0,41;0,55;148;3;0;1;0;low;2;sales
15;0,36;0,56;137;3;0;1;0;low;2;sales
16;0,38;0,54;143;3;0;1;0;low;2;sales
17;0,45;0,47;160;3;0;1;0;low;2;sales
18;0,78;0,99;255;6;0;1;0;low;4;sales
19;0,45;0,51;160;3;1;1;1;low;2;sales
20;0,76;0,89;262;5;0;1;0;low;5;sales
21;0,11;0,83;282;4;0;1;0;low;6;sales
22;0,38;0,55;147;3;0;1;0;low;2;sales
23;0,01;0,95;304;4;0;1;0;low;6;sales
24;0,46;0,57;139;3;0;1;0;low;2;sales
25;0,4;0,53;158;3;0;1;0;low;2;sales
26;0,89;0,92;242;5;0;1;0;low;5;sales
27;0,82;0,87;239;5;0;1;0;low;4;sales
28;0,4;0,49;135;3;0;1;0;low;2;sales
29;0,41;0,46;128;3;0;1;0;low;2;accounting
30;0,38;0,5;132;3;0;1;0;low;2;accounting
31;0,09;0,62;294;4;0;1;0;low;6;accounting
32;0,45;0,57;134;3;0;1;0;low;2;hr
33;0,4;0,51;145;3;0;1;0;low;2;hr
34;0,45;0,55;140;3;0;1;0;low;2;hr
